<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.08	22:00:00	1.11112	1.11146	1.11096	1.11118	1551	0	3
2020.01.08	23:00:00	1.11118	1.11127	1.11014	1.11032	837	0	3
2020.01.09	00:00:00	1.11031	1.11138	1.11031	1.11093	677	0	3
2020.01.09	01:00:00	1.11090	1.11128	1.11066	1.11128	482	0	3
2020.01.09	02:00:00	1.11128	1.11157	1.11091	1.11133	1390	0	3
2020.01.09	03:00:00	1.11133	1.11192	1.11109	1.11172	1369	0	3
2020.01.09	04:00:00	1.11172	1.11188	1.11145	1.11151	620	0	3
2020.01.09	05:00:00	1.11151	1.11177	1.11141	1.11152	508	0	3
2020.01.09	06:00:00	1.11153	1.11157	1.11125	1.11153	496	0	3
2020.01.09	07:00:00	1.11153	1.11188	1.11150	1.11182	580	0	3
2020.01.09	08:00:00	1.11182	1.11189	1.11110	1.11122	1233	0	3
